Best Parameters: {'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}

Validation SVM:
Test Accuracy: 0.7197

               precision    recall  f1-score   support
      0        0.77      0.67      0.82       184
      1        0.76      0.78      0.84       198
      2        0.76      0.96      0.91       162
      3        0.86      0.88      0.56       138
      4        0.45      0.58      0.52       153
      5        0.83      0.65      0.68       161
      6        0.64      0.90      0.96       175
      7        0.70      0.72      0.71       189
      8        0.31      0.88      0.69       147
      9        0.76      0.82      0.70       150
      10       0.73      0.80      0.55       150
      11       0.64      0.81      0.68       161
      12       0.64      0.69      0.90       161
      13       0.74      0.80      0.79       183
      14       0.57      0.73      0.81       147
      15       0.88      0.69      0.93       178
      16       0.36      0.69      0.63       188
      17       0.82      0.70      0.73       176
      18       0.82      0.44      0.88       166
      19       0.79      0.72      0.72       177
      20       0.43      0.75      0.84       161
      21       0.70      0.81      0.76       160
      22       0.74      0.85      0.61       164
      23       0.53      0.63      0.66       168
      24       0.78      0.72      0.73       180
      25       0.60      0.80      0.88       173
      26       0.78      0.71      0.81       150
      27       0.34      0.78      0.66       152
      28       0.79      0.78      0.65       195
      29       0.73      0.62      0.55       145
      30       0.91      0.89      0.81       193
      31       0.72      0.72      0.72       156
      32       0.72      0.72      0.72       159
      33       0.72      0.72      0.72       191
      34       0.72      0.72      0.72       170
      35       0.72      0.72      0.72       139
               
   accuracy                           0.7197      6000
   macro avg      0.76      0.76      0.76      6000
weighted avg      0.76      0.76      0.76      6000

Tempo de execução para o dataset completo: 5hrs
